image_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,make,make_id,class_name,class_id
00043.jpg,22,39,588,362,GMC,15,GMC Savana Van 2012,119
00044.jpg,220,193,537,364,BMW,14,BMW Z4 Convertible 2012,38
00045.jpg,12,108,489,297,Toyota,9,Toyota Sequoia SUV 2012,186
00046.jpg,28,80,759,466,Audi,0,Audi TT RS Coupe 2012,25
00047.jpg,84,248,1102,899,Volvo,10,Volvo 240 Sedan 1993,194
00048.jpg,142,69,753,451,Rolls-Royce,23,Rolls-Royce Phantom Sedan 2012,177
00049.jpg,166,543,887,903,Porsche,24,Porsche Panamera Sedan 2012,173
00050.jpg,20,96,564,341,Bentley,25,Bentley Continental GT Coupe 2012,42
00051.jpg,41,181,607,465,Dodge,2,Dodge Dakota Club Cab 2007,91
00052.jpg,39,29,774,395,Jeep,26,Jeep Grand Cherokee SUV 2012,148
00053.jpg,161,191,425,307,Audi,0,Audi R8 Coupe 2012,15
00054.jpg,58,562,1528,1081,Dodge,2,Dodge Charger SRT-8 2009,97
00055.jpg,80,120,582,391,Bentley,25,Bentley Continental GT Coupe 2012,42
00056.jpg,32,48,472,267,Cadillac,27,Cadillac Escalade EXT Crew Cab 2007,53
00057.jpg,260,138,972,439,Bentley,25,Bentley Continental Flying Spur Sedan 2007,44
00058.jpg,11,35,256,173,Chevrolet,7,Chevrolet Avalanche Crew Cab 2012,65
00059.jpg,68,91,607,354,Dodge,2,Dodge Dakota Crew Cab 2010,90
00060.jpg,129,120,345,269,HUMMER,28,HUMMER H3T Crew Cab 2010,124
00061.jpg,11,104,1011,742,Ford,4,Ford F-150 Regular Cab 2007,114
00062.jpg,19,21,425,265,Volkswagen,12,Volkswagen Golf Hatchback 2012,190
00063.jpg,175,330,928,647,Ferrari,20,Ferrari FF Coupe 2012,101
00064.jpg,97,39,925,700,Toyota,9,Toyota Camry Sedan 2012,187
00065.jpg,63,175,417,320,Aston,29,Aston Martin V8 Vantage Convertible 2012,8
00066.jpg,30,39,221,125,Audi,0,Audi 100 Sedan 1994,17
00067.jpg,129,89,594,432,Ford,4,Ford Ranger SuperCab 2011,111
00068.jpg,32,43,598,350,GMC,15,GMC Canyon Extended Cab 2012,122
00069.jpg,142,124,675,445,Acura,1,Acura TSX Sedan 2012,5
00070.jpg,220,313,1054,976,BMW,14,BMW 3 Series Sedan 2012,29
00071.jpg,8,12,639,299,Honda,30,Honda Odyssey Minivan 2012,126
00072.jpg,92,271,1178,749,Dodge,2,Dodge Durango SUV 2012,94
00073.jpg,15,12,314,230,Ford,4,Ford F-450 Super Duty Crew Cab 2012,106
00074.jpg,14,12,309,223,Ford,4,Ford F-450 Super Duty Crew Cab 2012,106
00075.jpg,45,74,522,253,Toyota,9,Toyota Corolla Sedan 2012,188
00076.jpg,12,27,284,166,Chevrolet,7,Chevrolet Camaro Convertible 2012,59
00077.jpg,25,25,3502,2017,Ford,4,Ford Edge SUV 2012,110
00078.jpg,36,88,611,417,Bentley,25,Bentley Continental GT Coupe 2007,43
00079.jpg,165,126,749,425,Hyundai,3,Hyundai Veracruz SUV 2012,133
00080.jpg,20,21,292,217,Ford,4,Ford Ranger SuperCab 2011,111
00081.jpg,10,55,540,271,Aston,29,Aston Martin V8 Vantage Convertible 2012,8
00082.jpg,63,113,597,413,Volkswagen,12,Volkswagen Beetle Hatchback 2012,192
00083.jpg,55,48,294,205,Audi,0,Audi 100 Wagon 1994,18
00084.jpg,27,67,620,474,Ford,4,Ford E-Series Wagon Van 2012,116
00085.jpg,15,80,629,402,Buick,8,Buick Verano Sedan 2012,49
00086.jpg,119,300,1416,871,Jeep,26,Jeep Patriot SUV 2012,145
00087.jpg,17,36,455,215,Buick,8,Buick Verano Sedan 2012,49
00088.jpg,171,176,2373,1751,Nissan,16,Nissan Juke Hatchback 2012,170
00089.jpg,49,195,1003,617,Audi,0,Audi S6 Sedan 2011,20
00090.jpg,5,43,296,211,Ford,4,Ford F-150 Regular Cab 2007,114
00091.jpg,49,57,494,419,Mercedes-Benz,31,Mercedes-Benz S-Class Sedan 2012,165
00092.jpg,101,84,492,272,Hyundai,3,Hyundai Sonata Sedan 2012,138
00093.jpg,23,53,258,144,Rolls-Royce,23,Rolls-Royce Phantom Drophead Coupe Convertible 2012,175
00094.jpg,19,60,783,440,Ford,4,Ford GT Coupe 2006,112
00095.jpg,110,171,1213,648,GMC,15,GMC Canyon Extended Cab 2012,122
00096.jpg,39,67,346,206,Ferrari,20,Ferrari 458 Italia Coupe 2012,104
00097.jpg,3,7,76,50,Chevrolet,7,Chevrolet Corvette Ron Fellows Edition Z06 2007,57
00098.jpg,65,37,578,360,Cadillac,27,Cadillac CTS-V Sedan 2012,51
00099.jpg,27,60,486,364,BMW,14,BMW X3 SUV 2012,37
00100.jpg,22,180,454,355,Chevrolet,7,Chevrolet Express Van 2007,71
00101.jpg,70,39,940,742,Volvo,10,Volvo C30 Hatchback 2012,193
00102.jpg,99,130,396,222,Fisker,21,Fisker Karma Sedan 2012,105
00103.jpg,85,107,609,381,Chevrolet,7,Chevrolet Impala Sedan 2007,61
00104.jpg,1,76,480,315,Chevrolet,7,Chevrolet Silverado 1500 Extended Cab 2012,74
00105.jpg,57,266,967,623,Hyundai,3,Hyundai Veracruz SUV 2012,133
00106.jpg,69,75,236,161,Mercedes-Benz,31,Mercedes-Benz C-Class Sedan 2012,162
00107.jpg,24,17,249,163,Hyundai,3,Hyundai Santa Fe SUV 2012,131
00108.jpg,7,27,212,147,Dodge,2,Dodge Sprinter Cargo Van 2009,88
00109.jpg,18,14,248,168,GMC,15,GMC Acadia SUV 2012,121
00110.jpg,19,2,591,387,Spyker,18,Spyker C8 Coupe 2009,180
00111.jpg,52,6,759,513,Spyker,18,Spyker C8 Coupe 2009,180
00112.jpg,231,103,430,226,Hyundai,3,Hyundai Genesis Sedan 2012,137
00113.jpg,91,148,700,582,Hyundai,3,Hyundai Veracruz SUV 2012,133
00114.jpg,19,72,624,397,Chevrolet,7,Chevrolet Express Van 2007,71
00115.jpg,26,90,376,243,Dodge,2,Dodge Caliber Wagon 2012,83
00116.jpg,132,120,667,401,Ford,4,Ford Edge SUV 2012,110
00117.jpg,84,44,663,342,Bentley,25,Bentley Continental GT Coupe 2012,42
00118.jpg,87,235,591,412,Rolls-Royce,23,Rolls-Royce Phantom Sedan 2012,177
00119.jpg,173,370,1207,960,Jeep,26,Jeep Liberty SUV 2012,147
00120.jpg,3,19,195,114,Mercedes-Benz,31,Mercedes-Benz 300-Class Convertible 1993,161
00121.jpg,49,143,487,455,Ford,4,Ford Expedition EL SUV 2009,109
00122.jpg,72,67,233,176,BMW,14,BMW 1 Series Coupe 2012,28
00123.jpg,151,568,1954,1271,Jaguar,32,Jaguar XK XKR 2012,144
00124.jpg,14,88,271,178,Cadillac,27,Cadillac Escalade EXT Crew Cab 2007,53
00125.jpg,135,761,1894,1353,BMW,14,BMW 3 Series Sedan 2012,29
00126.jpg,44,123,778,487,Chevrolet,7,Chevrolet Cobalt SS 2010,66
00127.jpg,69,103,537,322,Chrysler,13,Chrysler 300 SRT-8 2010,79
00128.jpg,86,78,355,284,Audi,0,Audi A5 Coupe 2012,13
00129.jpg,50,80,592,273,Hyundai,3,Hyundai Accent Sedan 2012,136
00130.jpg,95,161,543,368,Isuzu,33,Isuzu Ascender SUV 2008,143
00131.jpg,275,195,863,474,Nissan,16,Nissan 240SX Coupe 1998,171
00132.jpg,99,78,557,389,Dodge,2,Dodge Journey SUV 2012,89
00133.jpg,11,126,426,360,Hyundai,3,Hyundai Elantra Sedan 2007,135
00134.jpg,1,2,267,185,Mercedes-Benz,31,Mercedes-Benz 300-Class Convertible 1993,161
00135.jpg,19,735,2669,2192,Chevrolet,7,Chevrolet Traverse SUV 2012,58
00136.jpg,21,35,279,195,GMC,15,GMC Canyon Extended Cab 2012,122
00137.jpg,45,99,593,403,Scion,34,Scion xD Hatchback 2012,178
00138.jpg,130,282,1425,900,Chevrolet,7,Chevrolet Corvette ZR1 2012,56
00139.jpg,72,215,628,481,Suzuki,17,Suzuki SX4 Sedan 2012,184
00140.jpg,62,95,633,434,Volkswagen,12,Volkswagen Golf Hatchback 1991,191
00141.jpg,13,106,476,260,Bentley,25,Bentley Arnage Sedan 2009,40
00142.jpg,78,300,952,633,Chevrolet,7,Chevrolet HHR SS 2010,60
00143.jpg,72,51,566,412,Land,19,Land Rover LR2 SUV 2012,155
00144.jpg,66,59,283,202,Chevrolet,7,Chevrolet Express Van 2007,71
00145.jpg,135,36,1181,885,Hyundai,3,Hyundai Azera Sedan 2012,140
00146.jpg,2,5,298,162,Bentley,25,Bentley Continental GT Coupe 2012,42
00147.jpg,8,12,770,309,Chrysler,13,Chrysler Aspen SUV 2009,76
00148.jpg,24,78,608,379,Toyota,9,Toyota Camry Sedan 2012,187
00149.jpg,34,1,242,179,Dodge,2,Dodge Ram Pickup 3500 Crew Cab 2010,86
00150.jpg,11,208,596,386,Aston,29,Aston Martin V8 Vantage Convertible 2012,8
00151.jpg,8,37,294,150,Acura,1,Acura TSX Sedan 2012,5
00152.jpg,23,66,499,311,Buick,8,Buick Regal GS 2012,47
00153.jpg,6,138,627,361,BMW,14,BMW 3 Series Wagon 2012,30
00154.jpg,17,105,385,243,Audi,0,Audi 100 Wagon 1994,18
00155.jpg,76,4,1585,1120,Jeep,26,Jeep Compass SUV 2012,149
00156.jpg,22,21,211,139,Ram,35,Ram C-V Cargo Van Minivan 2012,174
00157.jpg,32,130,973,661,Hyundai,3,Hyundai Sonata Sedan 2012,138
00158.jpg,75,236,1196,846,Spyker,18,Spyker C8 Convertible 2009,179
00159.jpg,37,139,988,694,Audi,0,Audi S4 Sedan 2007,24
00160.jpg,114,46,546,287,Bentley,25,Bentley Continental GT Coupe 2012,42
00161.jpg,12,83,629,354,Chevrolet,7,Chevrolet Malibu Sedan 2007,73
00162.jpg,38,66,548,385,Rolls-Royce,23,Rolls-Royce Ghost Sedan 2012,176
00163.jpg,46,84,661,428,AM,36,AM General Hummer SUV 2000,1
00164.jpg,13,29,239,174,BMW,14,BMW X3 SUV 2012,37
00165.jpg,27,65,490,220,BMW,14,BMW M6 Convertible 2010,36
00166.jpg,4,69,402,245,Ford,4,Ford Freestar Minivan 2007,108
00167.jpg,19,27,429,258,Bentley,25,Bentley Mulsanne Sedan 2011,41
00168.jpg,110,96,565,389,Bentley,25,Bentley Arnage Sedan 2009,40
00169.jpg,2,22,140,81,GMC,15,GMC Savana Van 2012,119
00170.jpg,48,71,615,453,GMC,15,GMC Savana Van 2012,119
00171.jpg,41,42,262,170,Audi,0,Audi TT Hatchback 2011,19
00172.jpg,6,108,493,267,Mercedes-Benz,31,Mercedes-Benz SL-Class Coupe 2009,163
00173.jpg,26,61,508,342,GMC,15,GMC Yukon Hybrid SUV 2012,120
00174.jpg,13,29,249,159,Chevrolet,7,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,54
00175.jpg,69,120,739,502,Ford,4,Ford E-Series Wagon Van 2012,116
00176.jpg,45,85,1005,558,Chevrolet,7,Chevrolet Cobalt SS 2010,66
00177.jpg,98,22,650,302,Buick,8,Buick Enclave SUV 2012,50
00178.jpg,5,28,285,148,GMC,15,GMC Canyon Extended Cab 2012,122
00179.jpg,42,113,601,439,Land,19,Land Rover LR2 SUV 2012,155
00180.jpg,3,40,297,157,Infiniti,22,Infiniti QX56 SUV 2011,142
00181.jpg,84,256,913,752,Chevrolet,7,Chevrolet TrailBlazer SS 2009,68
00182.jpg,43,226,1001,630,Nissan,16,Nissan Juke Hatchback 2012,170
00183.jpg,2,9,196,125,Mercedes-Benz,31,Mercedes-Benz 300-Class Convertible 1993,161
00184.jpg,34,51,604,344,Mercedes-Benz,31,Mercedes-Benz 300-Class Convertible 1993,161
00185.jpg,24,35,620,438,Hyundai,3,Hyundai Veracruz SUV 2012,133
00186.jpg,6,72,255,178,HUMMER,28,HUMMER H2 SUT Crew Cab 2009,125
00187.jpg,4,408,1600,934,McLaren,37,McLaren MP4-12C Coupe 2012,160
00188.jpg,25,162,1241,764,Dodge,2,Dodge Challenger SRT8 2011,93
00189.jpg,18,15,583,421,Suzuki,17,Suzuki SX4 Hatchback 2012,183
00190.jpg,198,416,1271,935,Bugatti,38,Bugatti Veyron 16.4 Convertible 2009,45
00191.jpg,129,75,654,422,Isuzu,33,Isuzu Ascender SUV 2008,143
00192.jpg,37,24,259,212,Toyota,9,Toyota 4Runner SUV 2012,189
00193.jpg,82,107,990,723,Buick,8,Buick Rainier SUV 2007,48
00194.jpg,187,327,1211,769,Rolls-Royce,23,Rolls-Royce Ghost Sedan 2012,176
00195.jpg,150,339,1313,771,Chrysler,13,Chrysler Sebring Convertible 2010,77
00196.jpg,26,46,266,213,Volkswagen,12,Volkswagen Golf Hatchback 2012,190
00197.jpg,47,102,492,371,Ford,4,Ford Edge SUV 2012,110
00198.jpg,91,121,574,357,Acura,1,Acura Integra Type R 2001,6
00199.jpg,151,298,1285,835,Volkswagen,12,Volkswagen Golf Hatchback 1991,191
00200.jpg,30,55,301,187,Audi,0,Audi V8 Sedan 1994,16
00201.jpg,21,1,386,200,Audi,0,Audi RS 4 Convertible 2008,12
00202.jpg,233,217,1228,807,Dodge,2,Dodge Dakota Crew Cab 2010,90
00203.jpg,30,167,945,545,Toyota,9,Toyota Corolla Sedan 2012,188
00204.jpg,11,61,284,151,Honda,30,Honda Accord Coupe 2012,128
00205.jpg,29,70,612,356,Audi,0,Audi S4 Sedan 2012,23
00206.jpg,117,222,558,434,Aston,29,Aston Martin Virage Coupe 2012,11
00207.jpg,31,119,438,258,Dodge,2,Dodge Challenger SRT8 2011,93
00208.jpg,26,151,360,256,Aston,29,Aston Martin V8 Vantage Convertible 2012,8
00209.jpg,58,136,973,636,Chevrolet,7,Chevrolet Sonic Sedan 2012,63
00210.jpg,8,80,639,366,Porsche,24,Porsche Panamera Sedan 2012,173
00211.jpg,11,47,598,365,Rolls-Royce,23,Rolls-Royce Ghost Sedan 2012,176
00212.jpg,8,20,254,155,Chevrolet,7,Chevrolet Monte Carlo Coupe 2007,72
00213.jpg,37,62,261,191,Volvo,10,Volvo XC90 SUV 2007,195
00214.jpg,70,78,915,640,Ford,4,Ford F-150 Regular Cab 2007,114
00215.jpg,38,50,221,138,Chevrolet,7,Chevrolet Monte Carlo Coupe 2007,72
00216.jpg,21,45,133,88,GMC,15,GMC Savana Van 2012,119
00217.jpg,45,39,594,444,Audi,0,Audi 100 Wagon 1994,18
00218.jpg,39,94,337,245,Chrysler,13,Chrysler Sebring Convertible 2010,77
00219.jpg,89,1,597,316,Audi,0,Audi 100 Wagon 1994,18
00220.jpg,16,103,462,347,Ford,4,Ford Mustang Convertible 2007,107
00221.jpg,29,21,477,299,Aston,29,Aston Martin Virage Convertible 2012,10
00222.jpg,89,58,545,338,smart,39,smart fortwo Convertible 2012,196
00223.jpg,42,115,299,288,FIAT,40,FIAT 500 Abarth 2012,99
00224.jpg,19,10,177,134,Dodge,2,Dodge Sprinter Cargo Van 2009,88
00225.jpg,20,50,463,313,GMC,15,GMC Acadia SUV 2012,121
00226.jpg,46,15,202,156,Ford,4,Ford Ranger SuperCab 2011,111
00227.jpg,36,63,613,397,Chevrolet,7,Chevrolet Impala Sedan 2007,61
00228.jpg,237,156,896,365,Infiniti,22,Infiniti G Coupe IPL 2012,141
00229.jpg,5,46,255,138,Hyundai,3,Hyundai Accent Sedan 2012,136
00230.jpg,223,542,3692,2478,Suzuki,17,Suzuki SX4 Hatchback 2012,183
00231.jpg,73,109,606,374,Ford,4,Ford F-450 Super Duty Crew Cab 2012,106
00232.jpg,15,110,544,381,Dodge,2,Dodge Caliber Wagon 2007,84
00233.jpg,276,124,1495,951,Volvo,10,Volvo 240 Sedan 1993,194
00234.jpg,99,364,1211,954,Hyundai,3,Hyundai Tucson SUV 2012,132
00235.jpg,59,63,549,404,Ford,4,Ford Ranger SuperCab 2011,111
00236.jpg,19,138,571,424,Acura,1,Acura ZDX Hatchback 2012,7
00237.jpg,11,10,396,265,Chevrolet,7,Chevrolet Avalanche Crew Cab 2012,65
00238.jpg,163,91,527,346,BMW,14,BMW ActiveHybrid 5 Sedan 2012,26
00239.jpg,4,19,255,172,Audi,0,Audi V8 Sedan 1994,16
00240.jpg,45,60,251,171,Hyundai,3,Hyundai Sonata Sedan 2012,138
00241.jpg,32,59,1011,709,Nissan,16,Nissan Juke Hatchback 2012,170
00242.jpg,10,53,273,167,Ferrari,20,Ferrari California Convertible 2012,102
00243.jpg,270,228,727,416,Nissan,16,Nissan Leaf Hatchback 2012,168
00244.jpg,21,93,479,331,Acura,1,Acura ZDX Hatchback 2012,7
00245.jpg,22,59,536,238,Chevrolet,7,Chevrolet Impala Sedan 2007,61
00246.jpg,1,317,1280,945,Mitsubishi,6,Mitsubishi Lancer Sedan 2012,167
00247.jpg,47,125,850,468,Hyundai,3,Hyundai Genesis Sedan 2012,137
00248.jpg,52,167,508,387,Rolls-Royce,23,Rolls-Royce Phantom Sedan 2012,177
00249.jpg,6,155,631,450,Lamborghini,41,Lamborghini Diablo Coupe 2001,153
00250.jpg,11,35,246,186,Volkswagen,12,Volkswagen Golf Hatchback 2012,190
00251.jpg,576,466,2994,1953,Mitsubishi,6,Mitsubishi Lancer Sedan 2012,167
00252.jpg,37,50,253,158,Fisker,21,Fisker Karma Sedan 2012,105
00253.jpg,51,105,579,335,Buick,8,Buick Enclave SUV 2012,50
00254.jpg,21,11,296,141,Hyundai,3,Hyundai Santa Fe SUV 2012,131
00255.jpg,29,78,734,396,Acura,1,Acura Integra Type R 2001,6
00256.jpg,85,215,776,511,Audi,0,Audi S5 Convertible 2012,21
00257.jpg,23,146,617,329,BMW,14,BMW 6 Series Convertible 2007,31
00258.jpg,34,86,227,166,Cadillac,27,Cadillac CTS-V Sedan 2012,51
00259.jpg,75,254,2514,1929,Toyota,9,Toyota Camry Sedan 2012,187
00260.jpg,28,164,698,417,Hyundai,3,Hyundai Sonata Hybrid Sedan 2012,134
00261.jpg,32,79,378,221,Audi,0,Audi V8 Sedan 1994,16
00262.jpg,158,132,501,293,Ferrari,20,Ferrari 458 Italia Convertible 2012,103
00263.jpg,177,299,730,673,Bentley,25,Bentley Arnage Sedan 2009,40
00264.jpg,42,72,472,299,Chevrolet,7,Chevrolet Silverado 2500HD Regular Cab 2012,69
00265.jpg,15,74,387,195,Chevrolet,7,Chevrolet Corvette Convertible 2012,55
00266.jpg,22,300,786,552,Audi,0,Audi 100 Sedan 1994,17
00267.jpg,25,133,620,374,Bugatti,38,Bugatti Veyron 16.4 Coupe 2009,46
00268.jpg,49,53,596,398,Chevrolet,7,Chevrolet Silverado 1500 Extended Cab 2012,74
00269.jpg,29,192,605,391,Tesla,42,Tesla Model S Sedan 2012,185
00270.jpg,15,70,357,186,GMC,15,GMC Canyon Extended Cab 2012,122
00271.jpg,11,23,141,80,Ram,35,Ram C-V Cargo Van Minivan 2012,174
00272.jpg,8,1,590,327,FIAT,40,FIAT 500 Convertible 2012,100
00273.jpg,37,65,458,321,Chevrolet,7,Chevrolet Silverado 2500HD Regular Cab 2012,69
00274.jpg,31,69,435,310,Audi,0,Audi S6 Sedan 2011,20
00275.jpg,165,183,495,358,Hyundai,3,Hyundai Veloster Hatchback 2012,130
00276.jpg,75,93,529,360,Hyundai,3,Hyundai Tucson SUV 2012,132
00277.jpg,72,193,926,613,Porsche,24,Porsche Panamera Sedan 2012,173
00278.jpg,1,38,251,135,Lincoln,43,Lincoln Town Car Sedan 2011,156
00279.jpg,16,31,553,297,Buick,8,Buick Regal GS 2012,47
00280.jpg,3,33,261,176,Ford,4,Ford Mustang Convertible 2007,107
00281.jpg,214,240,387,342,Lamborghini,41,Lamborghini Aventador Coupe 2012,151
00282.jpg,20,97,460,356,Chevrolet,7,Chevrolet Impala Sedan 2007,61
00283.jpg,112,190,664,342,Fisker,21,Fisker Karma Sedan 2012,105
00284.jpg,49,101,942,619,Dodge,2,Dodge Durango SUV 2012,94
00285.jpg,7,20,634,298,Volvo,10,Volvo 240 Sedan 1993,194
00286.jpg,116,143,769,713,Volvo,10,Volvo XC90 SUV 2007,195
00287.jpg,56,299,1266,721,Dodge,2,Dodge Dakota Club Cab 2007,91
00288.jpg,60,46,258,138,Toyota,9,Toyota 4Runner SUV 2012,189
00289.jpg,205,197,741,425,Audi,0,Audi R8 Coupe 2012,15
00290.jpg,68,30,620,506,Hyundai,3,Hyundai Azera Sedan 2012,140
00291.jpg,27,147,573,471,Infiniti,22,Infiniti QX56 SUV 2011,142
00292.jpg,133,73,806,251,Aston,29,Aston Martin Virage Convertible 2012,10
00293.jpg,24,27,936,380,Ferrari,20,Ferrari 458 Italia Coupe 2012,104
00294.jpg,11,141,629,386,Buick,8,Buick Rainier SUV 2007,48
00295.jpg,150,114,524,433,Buick,8,Buick Enclave SUV 2012,50
00296.jpg,18,115,618,456,GMC,15,GMC Yukon Hybrid SUV 2012,120
00297.jpg,56,157,639,455,Dodge,2,Dodge Ram Pickup 3500 Quad Cab 2009,87
00298.jpg,49,67,362,245,Rolls-Royce,23,Rolls-Royce Phantom Sedan 2012,177
00299.jpg,24,66,982,711,Jeep,26,Jeep Liberty SUV 2012,147
00300.jpg,41,103,994,692,Nissan,16,Nissan NV Passenger Van 2012,169
00301.jpg,52,36,247,189,GMC,15,GMC Acadia SUV 2012,121
00302.jpg,1,37,296,171,Audi,0,Audi TT Hatchback 2011,19
00303.jpg,6,47,297,193,BMW,14,BMW 6 Series Convertible 2007,31
00304.jpg,14,29,235,168,Lincoln,43,Lincoln Town Car Sedan 2011,156
00305.jpg,37,21,169,122,Isuzu,33,Isuzu Ascender SUV 2008,143
00306.jpg,37,125,582,456,Dodge,2,Dodge Caliber Wagon 2012,83
00307.jpg,171,63,1187,894,Chevrolet,7,Chevrolet Traverse SUV 2012,58
00308.jpg,16,136,775,418,Acura,1,Acura Integra Type R 2001,6
00309.jpg,50,122,589,338,Honda,30,Honda Odyssey Minivan 2007,127
00310.jpg,36,43,407,319,Hyundai,3,Hyundai Santa Fe SUV 2012,131
00311.jpg,1,69,280,228,Audi,0,Audi R8 Coupe 2012,15
00312.jpg,53,79,627,464,Chevrolet,7,Chevrolet Malibu Sedan 2007,73
00313.jpg,13,44,477,289,Audi,0,Audi S4 Sedan 2007,24
00314.jpg,33,71,615,435,Dodge,2,Dodge Ram Pickup 3500 Quad Cab 2009,87
00315.jpg,555,278,1543,1207,Nissan,16,Nissan Juke Hatchback 2012,170
00316.jpg,10,29,276,164,Geo,5,Geo Metro Convertible 1993,123
00317.jpg,2,48,300,202,Maybach,44,Maybach Landaulet Convertible 2012,158
00318.jpg,73,159,445,376,Aston,29,Aston Martin Virage Coupe 2012,11
00319.jpg,38,8,564,402,Buick,8,Buick Regal GS 2012,47
00320.jpg,42,17,440,282,Acura,1,Acura ZDX Hatchback 2012,7
00321.jpg,42,63,593,397,Dodge,2,Dodge Durango SUV 2012,94
00322.jpg,9,304,1009,677,Chevrolet,7,Chevrolet Silverado 1500 Regular Cab 2012,75
00323.jpg,161,263,632,415,Suzuki,17,Suzuki Kizashi Sedan 2012,182
00324.jpg,15,26,199,123,Toyota,9,Toyota Sequoia SUV 2012,186
00325.jpg,12,21,285,142,Honda,30,Honda Accord Coupe 2012,128
00326.jpg,29,28,432,249,Volvo,10,Volvo C30 Hatchback 2012,193
00327.jpg,2,6,546,298,Spyker,18,Spyker C8 Coupe 2009,180
00328.jpg,41,49,244,176,Chevrolet,7,Chevrolet Tahoe Hybrid SUV 2012,62
00329.jpg,10,105,660,475,Ford,4,Ford F-150 Regular Cab 2007,114
00330.jpg,168,92,333,305,Mercedes-Benz,31,Mercedes-Benz Sprinter Van 2012,166
00331.jpg,26,81,596,391,Suzuki,17,Suzuki Aerio Sedan 2007,181
00332.jpg,76,247,396,396,Ferrari,20,Ferrari FF Coupe 2012,101
00333.jpg,30,110,472,316,Ferrari,20,Ferrari 458 Italia Convertible 2012,103
00334.jpg,179,300,1403,894,Audi,0,Audi S5 Coupe 2012,22
00335.jpg,23,31,236,176,HUMMER,28,HUMMER H2 SUT Crew Cab 2009,125
