track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,stream_class
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2.0,2023.0,5.0,31.0,1313.0,40.0,200647221.0,17.0,152.0,32.0,11.0,139.0,133.0,F,Minor,85.0,81.0,67.0,26.0,0.0,12.0,5.0,Low
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3.0,2023.0,6.0,2.0,1945.0,87.0,115364561.0,74.0,182.0,87.0,14.0,1093.0,99.0,C#,Major,85.0,83.0,68.0,7.0,0.0,36.0,20.0,Low
SABOR FRESA,Fuerza Regida,1.0,2023.0,6.0,22.0,250.0,26.0,78300654.0,16.0,149.0,10.0,5.0,168.0,130.0,G,Minor,79.0,96.0,86.0,9.0,0.0,9.0,9.0,Low
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2.0,2022.0,3.0,25.0,7112.0,77.0,899183384.0,202.0,119.0,318.0,38.0,96.0,107.0,B,Major,80.0,82.0,80.0,43.0,0.0,14.0,4.0,High
MOJABI GHOST,"Tainy, Bad Bunny",2.0,2023.0,6.0,29.0,859.0,40.0,61245289.0,35.0,109.0,41.0,14.0,211.0,122.0,F#,Minor,81.0,74.0,71.0,14.0,0.0,56.0,4.0,Low
Last Night,Morgan Wallen,1.0,2023.0,1.0,31.0,2420.0,19.0,429829812.0,52.0,107.0,15.0,1.0,325.0,204.0,F#,Major,52.0,52.0,68.0,46.0,0.0,15.0,4.0,Average
Dance The Night (From Barbie The Album),Dua Lipa,1.0,2023.0,5.0,25.0,2988.0,101.0,127408954.0,0.0,0.0,143.0,38.0,0.0,110.0,B,Minor,67.0,78.0,85.0,2.0,0.0,33.0,5.0,Low
Rush,Troye Sivan,1.0,2023.0,7.0,13.0,864.0,78.0,22581161.0,71.0,135.0,50.0,1.0,294.0,126.0,F,Minor,74.0,35.0,84.0,0.0,0.0,11.0,6.0,Low
TULUM,"Peso Pluma, Grupo Frontera",2.0,2023.0,6.0,28.0,266.0,34.0,52294266.0,20.0,185.0,13.0,8.0,197.0,168.0,F#,Major,56.0,63.0,87.0,39.0,0.0,11.0,5.0,Low
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3.0,2022.0,12.0,2.0,6036.0,88.0,843957510.0,113.0,149.0,245.0,23.0,27.0,98.0,C#,Minor,71.0,17.0,61.0,36.0,0.0,8.0,5.0,High
Anti-Hero,Taylor Swift,1.0,2022.0,10.0,21.0,9082.0,56.0,999748277.0,242.0,142.0,165.0,9.0,310.0,97.0,E,Major,64.0,51.0,63.0,12.0,0.0,19.0,5.0,High
TQG,"Karol G, Shakira",2.0,2023.0,2.0,23.0,4284.0,49.0,618990393.0,115.0,123.0,184.0,18.0,354.0,180.0,E,Minor,72.0,61.0,63.0,67.0,0.0,9.0,28.0,Average
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8.0,2023.0,6.0,1.0,1150.0,31.0,123122413.0,22.0,33.0,34.0,7.0,184.0,120.0,nan,Major,81.0,63.0,68.0,11.0,0.0,11.0,4.0,Low
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2.0,2023.0,4.0,7.0,672.0,34.0,188933502.0,19.0,108.0,24.0,9.0,212.0,150.0,F#,Major,61.0,39.0,73.0,37.0,0.0,11.0,3.0,Low
Blank Space,Taylor Swift,1.0,2014.0,1.0,1.0,11434.0,53.0,1355959075.0,154.0,123.0,410.0,2.0,81.0,96.0,F,Major,75.0,57.0,68.0,9.0,0.0,13.0,6.0,High
Style,Taylor Swift,1.0,2014.0,1.0,1.0,7830.0,42.0,786181836.0,94.0,111.0,151.0,4.0,82.0,95.0,D,Major,60.0,48.0,79.0,0.0,0.0,12.0,4.0,High
TQM,Fuerza Regida,1.0,2023.0,5.0,19.0,584.0,28.0,176553476.0,16.0,159.0,15.0,6.0,100.0,125.0,F,Minor,79.0,96.0,85.0,27.0,0.0,11.0,6.0,Low
El Azul,"Junior H, Peso Pluma",2.0,2023.0,2.0,10.0,692.0,25.0,354495408.0,10.0,107.0,6.0,3.0,62.0,144.0,A,Minor,56.0,84.0,65.0,23.0,0.0,10.0,6.0,Average
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2.0,2018.0,10.0,9.0,24094.0,78.0,2808096550.0,372.0,117.0,843.0,4.0,69.0,90.0,D,Major,76.0,91.0,50.0,54.0,0.0,7.0,5.0,High
I'm Good (Blue),"Bebe Rexha, David Guetta",2.0,2022.0,8.0,26.0,12482.0,80.0,1109433169.0,291.0,184.0,537.0,45.0,727.0,128.0,G,Minor,56.0,38.0,97.0,4.0,0.0,35.0,4.0,High
See You Again,"Tyler, The Creator, Kali Uchis",3.0,2017.0,7.0,21.0,13387.0,64.0,1047101291.0,77.0,58.0,247.0,1.0,311.0,79.0,F#,Major,56.0,58.0,56.0,37.0,0.0,11.0,10.0,High
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3.0,2023.0,6.0,23.0,1117.0,80.0,65156199.0,82.0,145.0,65.0,16.0,1133.0,144.0,nan,Major,77.0,75.0,58.0,52.0,0.0,23.0,25.0,Low
Angels Like You,Miley Cyrus,1.0,2020.0,11.0,27.0,3372.0,19.0,570515054.0,65.0,48.0,138.0,1.0,102.0,122.0,F,Major,67.0,49.0,64.0,10.0,0.0,10.0,3.0,Average
I Ain't Worried,OneRepublic,1.0,2022.0,5.0,13.0,8431.0,76.0,1085685420.0,241.0,127.0,458.0,37.0,332.0,140.0,nan,Major,71.0,82.0,81.0,11.0,0.0,6.0,5.0,High
Die For You,The Weeknd,1.0,2016.0,11.0,24.0,2483.0,59.0,1647990401.0,68.0,21.0,24.0,0.0,259.0,134.0,C#,Minor,59.0,51.0,52.0,9.0,0.0,15.0,7.0,High
Starboy,"The Weeknd, Daft Punk",2.0,2016.0,9.0,21.0,29536.0,79.0,2565529693.0,281.0,137.0,2445.0,1.0,140.0,186.0,G,Major,68.0,49.0,59.0,16.0,0.0,13.0,28.0,High
Die For You - Remix,"Ariana Grande, The Weeknd",2.0,2023.0,2.0,24.0,3408.0,47.0,518745108.0,87.0,86.0,74.0,1.0,16.0,67.0,C#,Minor,53.0,50.0,53.0,23.0,0.0,44.0,7.0,Average
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3.0,2023.0,6.0,2.0,1298.0,38.0,107753850.0,44.0,64.0,57.0,10.0,110.0,106.0,A#,Minor,72.0,17.0,64.0,7.0,0.0,10.0,5.0,Low
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3.0,2023.0,4.0,6.0,4277.0,66.0,177740666.0,145.0,111.0,213.0,11.0,810.0,128.0,G,Major,60.0,23.0,91.0,0.0,0.0,12.0,3.0,Low
AMARGURA,Karol G,1.0,2023.0,2.0,24.0,1133.0,39.0,153372011.0,14.0,71.0,23.0,10.0,176.0,107.0,F#,Minor,92.0,55.0,70.0,18.0,0.0,15.0,7.0,Low
(It Goes Like) Nanana - Edit,Peggy Gou,1.0,2023.0,6.0,15.0,2259.0,59.0,57876440.0,0.0,0.0,109.0,17.0,0.0,130.0,G,Minor,67.0,96.0,88.0,12.0,19.0,8.0,4.0,Low
Moonlight,Kali Uchis,1.0,2023.0,2.0,24.0,2649.0,42.0,256483385.0,67.0,79.0,57.0,1.0,615.0,137.0,G,Minor,64.0,88.0,72.0,51.0,0.0,17.0,5.0,Average
La Bachata,Manuel Turizo,1.0,2022.0,5.0,26.0,6804.0,45.0,1214083358.0,139.0,111.0,161.0,15.0,210.0,125.0,G,Minor,84.0,85.0,68.0,58.0,0.0,22.0,4.0,High
S91,Karol G,1.0,2023.0,7.0,14.0,525.0,41.0,16011326.0,34.0,115.0,39.0,6.0,216.0,128.0,nan,Minor,86.0,42.0,72.0,59.0,0.0,9.0,19.0,Low
cardigan,Taylor Swift,1.0,2020.0,7.0,24.0,7923.0,29.0,812019557.0,106.0,112.0,142.0,4.0,215.0,130.0,nan,Minor,61.0,53.0,58.0,55.0,0.0,27.0,4.0,High
Tï¿½ï¿½,"dennis, MC Kevin o Chris",2.0,2023.0,5.0,4.0,731.0,15.0,111947664.0,27.0,17.0,73.0,4.0,167.0,130.0,B,Major,86.0,59.0,96.0,50.0,1.0,9.0,5.0,Low
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2.0,2023.0,2.0,3.0,5184.0,41.0,156338624.0,154.0,84.0,102.0,14.0,37.0,133.0,F,Major,70.0,86.0,81.0,25.0,0.0,25.0,5.0,Low
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3.0,2022.0,6.0,24.0,3107.0,39.0,720434240.0,38.0,0.0,4.0,0.0,0.0,101.0,D,Major,88.0,72.0,59.0,62.0,0.0,9.0,3.0,High
BESO,"Rauw Alejandro, ROSALï¿½",2.0,2023.0,3.0,24.0,4053.0,50.0,357925728.0,82.0,121.0,182.0,12.0,171.0,95.0,F,Minor,77.0,53.0,64.0,74.0,0.0,17.0,14.0,Average
Hey Mor,"Ozuna, Feid",2.0,2022.0,10.0,6.0,4637.0,38.0,674072710.0,63.0,79.0,89.0,11.0,16.0,98.0,C#,Minor,90.0,40.0,59.0,0.0,0.0,10.0,29.0,Average
Yellow,Chris Molitor,1.0,1999.0,1.0,1.0,31358.0,43.0,1755214421.0,196.0,2.0,4053.0,5.0,0.0,173.0,B,Major,43.0,28.0,66.0,0.0,0.0,23.0,3.0,High
Karma,Taylor Swift,1.0,2022.0,10.0,21.0,3818.0,23.0,404562836.0,37.0,55.0,32.0,0.0,272.0,90.0,G#,Major,64.0,10.0,62.0,7.0,0.0,48.0,7.0,Average
People,Libianca,1.0,2022.0,12.0,2.0,3506.0,56.0,373199958.0,105.0,64.0,169.0,8.0,529.0,198.0,A#,Minor,59.0,71.0,42.0,55.0,0.0,10.0,7.0,Average
Overdrive,Post Malone,1.0,2023.0,7.0,14.0,410.0,36.0,14780425.0,36.0,32.0,31.0,1.0,26.0,140.0,C#,Major,56.0,48.0,73.0,0.0,0.0,35.0,4.0,Low
Enchanted (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,148.0,24.0,39578178.0,32.0,93.0,8.0,2.0,5.0,82.0,G#,Major,51.0,22.0,53.0,1.0,0.0,15.0,3.0,Low
BABY HELLO,"Rauw Alejandro, Bizarrap",2.0,2023.0,6.0,23.0,1004.0,35.0,54266102.0,42.0,80.0,58.0,3.0,169.0,130.0,C#,Minor,77.0,84.0,89.0,17.0,0.0,43.0,5.0,Low
golden hour,JVKE,1.0,2022.0,7.0,15.0,4511.0,36.0,751134527.0,70.0,58.0,109.0,18.0,230.0,94.0,C#,Minor,51.0,14.0,59.0,65.0,18.0,25.0,3.0,High
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2.0,2022.0,7.0,6.0,8506.0,45.0,1356565093.0,94.0,65.0,164.0,14.0,176.0,128.0,D,Major,62.0,55.0,78.0,1.0,3.0,23.0,4.0,High
Viva La Vida,Coldplay,1.0,2008.0,1.0,1.0,33898.0,62.0,1592909789.0,233.0,0.0,4095.0,9.0,0.0,138.0,F,Minor,49.0,42.0,62.0,9.0,0.0,11.0,3.0,High
Here With Me,d4vd,1.0,2022.0,7.0,17.0,3246.0,23.0,635412045.0,94.0,85.0,68.0,1.0,84.0,132.0,E,Major,58.0,27.0,48.0,50.0,0.0,12.0,3.0,Average
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2.0,2022.0,9.0,22.0,8576.0,42.0,1230675890.0,216.0,108.0,331.0,26.0,154.0,131.0,D,Major,71.0,24.0,47.0,1.0,0.0,27.0,9.0,High
Yandel 150,"Yandel, Feid",2.0,2022.0,12.0,20.0,3618.0,38.0,585695368.0,47.0,74.0,80.0,14.0,194.0,168.0,F#,Minor,78.0,58.0,73.0,5.0,0.0,10.0,7.0,Average
CORAZï¿½ï¿½N VA,Maria Becerra,1.0,2023.0,6.0,22.0,370.0,20.0,43857627.0,12.0,16.0,18.0,4.0,93.0,98.0,C#,Major,68.0,40.0,79.0,33.0,0.0,30.0,6.0,Low
Riptide,Vance Joy,1.0,1975.0,1.0,1.0,31123.0,55.0,2009094673.0,300.0,65.0,1003.0,1.0,0.0,102.0,C#,Major,48.0,50.0,73.0,43.0,0.0,15.0,4.0,High
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2.0,2022.0,4.0,22.0,2790.0,30.0,600976848.0,60.0,96.0,71.0,0.0,115.0,101.0,A#,Major,34.0,32.0,57.0,78.0,0.0,20.0,3.0,Average
Novidade na ï¿½ï¿½,"Mc Livinho, DJ Matt D",2.0,2023.0,6.0,23.0,267.0,9.0,39709092.0,9.0,6.0,25.0,2.0,72.0,130.0,F,Major,63.0,36.0,34.0,76.0,0.0,35.0,9.0,Low
Back To December (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,139.0,17.0,39228929.0,16.0,72.0,5.0,0.0,8.0,142.0,D,Major,50.0,20.0,64.0,1.0,0.0,12.0,3.0,Low
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2.0,2021.0,7.0,9.0,17050.0,36.0,2665343922.0,492.0,99.0,798.0,31.0,0.0,170.0,C#,Major,59.0,48.0,76.0,4.0,0.0,10.0,5.0,High
El Merengue,"Marshmello, Manuel Turizo",2.0,2023.0,3.0,3.0,2114.0,44.0,223633238.0,80.0,75.0,110.0,11.0,323.0,124.0,G#,Minor,78.0,70.0,68.0,3.0,1.0,11.0,4.0,Low
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2.0,2022.0,5.0,6.0,8870.0,43.0,1440757818.0,104.0,120.0,141.0,26.0,49.0,92.0,C#,Minor,91.0,43.0,71.0,9.0,0.0,9.0,8.0,High
Makeba,Jain,1.0,2015.0,6.0,22.0,6060.0,53.0,165484133.0,150.0,148.0,2703.0,22.0,1451.0,116.0,D,Major,82.0,40.0,66.0,39.0,51.0,25.0,7.0,Low
MONTAGEM - FR PUNK,"Ayparia, unxbected",2.0,2012.0,6.0,20.0,641.0,50.0,58054811.0,1.0,52.0,8.0,0.0,1170.0,129.0,A,Major,63.0,84.0,82.0,70.0,8.0,9.0,7.0,Low
Fast Car,Luke Combs,1.0,2023.0,3.0,24.0,1446.0,12.0,157058870.0,57.0,97.0,35.0,0.0,429.0,98.0,G#,Major,71.0,67.0,60.0,19.0,0.0,12.0,3.0,Low
What It Is (Solo Version),Doechii,1.0,2023.0,3.0,17.0,804.0,25.0,95131998.0,29.0,76.0,24.0,0.0,162.0,172.0,C#,Minor,74.0,76.0,76.0,6.0,0.0,10.0,9.0,Low
Coco Chanel,"Bad Bunny, Eladio Carrion",2.0,2023.0,3.0,17.0,1962.0,38.0,250305248.0,28.0,89.0,29.0,5.0,82.0,150.0,D,Major,68.0,14.0,76.0,4.0,0.0,10.0,4.0,Average
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1.0,2017.0,11.0,8.0,4875.0,23.0,685032533.0,19.0,45.0,0.0,0.0,10.0,136.0,A,Minor,62.0,19.0,53.0,11.0,0.0,6.0,4.0,Average
Still With You,Jung Kook,1.0,2020.0,6.0,5.0,31.0,39.0,38411956.0,2.0,107.0,8.0,0.0,0.0,88.0,C#,Minor,53.0,34.0,47.0,9.0,0.0,83.0,4.0,Low
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2.0,2023.0,5.0,12.0,2175.0,23.0,144565150.0,69.0,145.0,69.0,2.0,478.0,143.0,D#,Major,83.0,69.0,44.0,15.0,0.0,10.0,33.0,Low
Say Yes To Heaven,Lana Del Rey,1.0,2023.0,3.0,17.0,2000.0,46.0,127567540.0,49.0,105.0,63.0,1.0,0.0,100.0,F#,Minor,49.0,17.0,35.0,71.0,9.0,11.0,3.0,Low
Snooze,SZA,1.0,2022.0,12.0,9.0,2839.0,25.0,399686758.0,58.0,156.0,42.0,1.0,236.0,143.0,F,Major,56.0,39.0,55.0,14.0,0.0,11.0,13.0,Average
Summertime Sadness,Lana Del Rey,1.0,2011.0,1.0,1.0,20333.0,52.0,983637508.0,89.0,143.0,1632.0,3.0,200.0,112.0,C#,Minor,56.0,24.0,66.0,7.0,0.0,12.0,3.0,High
Take Two,BTS,1.0,2023.0,6.0,9.0,674.0,47.0,118482347.0,20.0,106.0,25.0,4.0,78.0,93.0,G,Major,62.0,57.0,59.0,3.0,0.0,38.0,3.0,Low
Lover,Taylor Swift,1.0,2012.0,1.0,1.0,8448.0,23.0,882831184.0,160.0,110.0,163.0,0.0,5.0,206.0,G,Major,43.0,50.0,55.0,50.0,0.0,15.0,10.0,High
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3.0,2022.0,12.0,2.0,2110.0,58.0,286400165.0,17.0,119.0,19.0,2.0,266.0,88.0,G,Minor,68.0,17.0,71.0,15.0,0.0,11.0,5.0,Average
Chemical,Post Malone,1.0,2023.0,4.0,14.0,2528.0,39.0,172825906.0,56.0,91.0,59.0,3.0,486.0,170.0,D,Major,50.0,37.0,90.0,0.0,0.0,12.0,5.0,Low
Mockingbird,Eminem,1.0,2004.0,1.0,1.0,12985.0,61.0,1241559043.0,49.0,98.0,2394.0,5.0,204.0,84.0,E,Minor,62.0,24.0,67.0,21.0,0.0,13.0,28.0,High
New Jeans,NewJeans,1.0,2023.0,7.0,7.0,77.0,35.0,29562220.0,8.0,166.0,4.0,4.0,34.0,134.0,E,Minor,81.0,53.0,72.0,51.0,0.0,12.0,5.0,Low
Primera Cita,Carin Leon,1.0,2022.0,4.0,20.0,266.0,27.0,77309611.0,6.0,40.0,6.0,6.0,202.0,158.0,A#,Major,54.0,50.0,40.0,61.0,0.0,10.0,6.0,Low
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3.0,2017.0,11.0,10.0,21097.0,52.0,1605224506.0,384.0,135.0,1034.0,37.0,312.0,116.0,C#,Major,80.0,92.0,80.0,4.0,0.0,10.0,3.0,High
Dandelions,Ruth B.,1.0,2017.0,4.0,28.0,3423.0,21.0,1116995633.0,41.0,100.0,59.0,1.0,32.0,117.0,C#,Major,61.0,45.0,69.0,2.0,0.0,9.0,3.0,High
Bones,Imagine Dragons,1.0,2021.0,3.0,11.0,4198.0,44.0,838079900.0,98.0,108.0,327.0,17.0,153.0,114.0,F,Minor,77.0,65.0,72.0,2.0,0.0,7.0,5.0,High
Set Fire to the Rain,Adele,1.0,2011.0,1.0,1.0,14739.0,43.0,1163620694.0,88.0,112.0,2163.0,5.0,519.0,108.0,D,Minor,61.0,47.0,68.0,0.0,0.0,13.0,3.0,High
Money Trees,"Kendrick Lamar, Jay Rock",2.0,2012.0,1.0,1.0,26792.0,32.0,1093605526.0,69.0,113.0,695.0,0.0,458.0,144.0,E,Minor,74.0,37.0,53.0,7.0,0.0,21.0,10.0,High
Tak Segampang Itu,Anggi Marito,1.0,2022.0,12.0,2.0,213.0,6.0,179659294.0,7.0,6.0,0.0,0.0,48.0,130.0,F,Major,51.0,18.0,44.0,76.0,0.0,11.0,3.0,Low
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2.0,2023.0,6.0,22.0,58.0,18.0,39058561.0,2.0,106.0,4.0,2.0,184.0,116.0,B,Major,77.0,79.0,62.0,33.0,1.0,15.0,3.0,Low
Mine (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,99.0,15.0,36912123.0,21.0,52.0,6.0,1.0,0.0,121.0,G,Major,65.0,49.0,78.0,0.0,0.0,17.0,4.0,Low
Everybody Wants To Rule The World,Tears For Fears,1.0,1985.0,2.0,17.0,41751.0,25.0,1205951614.0,101.0,32.0,2655.0,0.0,666.0,112.0,G,Major,64.0,54.0,81.0,36.0,0.0,11.0,6.0,High
No Role Modelz,J. Cole,1.0,2014.0,12.0,9.0,21164.0,36.0,1791000570.0,80.0,65.0,476.0,0.0,14.0,100.0,A#,Minor,70.0,47.0,52.0,30.0,0.0,6.0,33.0,High
Tattoo,Loreen,1.0,2023.0,2.0,25.0,2988.0,59.0,201660859.0,74.0,102.0,145.0,18.0,925.0,150.0,D#,Minor,55.0,30.0,78.0,24.0,0.0,12.0,8.0,Low
Rara Vez,"Taiu, Milo j",2.0,2023.0,2.0,8.0,893.0,38.0,248088961.0,19.0,23.0,24.0,3.0,88.0,120.0,F,Minor,84.0,96.0,71.0,18.0,0.0,34.0,17.0,Average
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï¿½",3.0,2023.0,5.0,12.0,1094.0,34.0,90839753.0,40.0,58.0,47.0,8.0,203.0,127.0,B,Minor,82.0,89.0,85.0,4.0,0.0,23.0,6.0,Low
august,Taylor Swift,1.0,2020.0,7.0,24.0,7324.0,22.0,607123776.0,25.0,81.0,61.0,1.0,44.0,90.0,F,Major,51.0,42.0,61.0,53.0,0.0,9.0,3.0,Average
LUNA,"Junior H, Peso Pluma",2.0,2023.0,6.0,22.0,201.0,11.0,55842345.0,19.0,117.0,8.0,1.0,74.0,128.0,A,Minor,75.0,79.0,63.0,33.0,0.0,15.0,4.0,Low
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2.0,2023.0,3.0,10.0,5120.0,48.0,211050784.0,161.0,115.0,246.0,9.0,638.0,143.0,A,Major,64.0,31.0,87.0,4.0,4.0,8.0,4.0,Low
Nonsense,Sabrina Carpenter,1.0,2022.0,7.0,15.0,2346.0,27.0,342897938.0,69.0,12.0,38.0,8.0,64.0,139.0,G#,Major,74.0,68.0,68.0,3.0,0.0,26.0,4.0,Average
Que Vuelvas,"Carin Leon, Grupo Frontera",2.0,2022.0,12.0,9.0,763.0,26.0,2762.0,21.0,110.0,21.0,9.0,71.0,162.0,A#,Major,49.0,78.0,64.0,19.0,0.0,11.0,4.0,Low
Por las Noches,Peso Pluma,1.0,2021.0,6.0,11.0,457.0,24.0,330346424.0,8.0,116.0,4.0,3.0,2.0,92.0,nan,Major,81.0,39.0,60.0,31.0,0.0,7.0,3.0,Average
